aX,aY,aZ,gX,gY,gZ
0.306,0.093,0.773,8.911,2.869,0.610
0.410,0.119,0.820,25.452,-5.493,-3.723
0.479,0.163,0.913,31.738,-10.986,-5.188
0.521,0.156,1.014,26.184,-10.681,-4.211
0.539,0.134,1.036,13.611,-6.958,-1.526
0.511,0.104,1.002,2.563,-1.282,1.038
0.489,0.065,0.920,-4.333,2.930,2.869
0.462,0.052,0.877,-5.554,4.211,3.906
0.463,0.089,0.939,-3.418,2.075,4.761
0.500,0.152,1.010,-0.427,-2.136,4.333
0.523,0.161,1.077,4.700,-4.272,1.831
0.496,0.144,1.067,6.592,-1.709,1.038
0.436,0.079,1.001,1.465,3.174,2.808
0.386,-0.022,0.955,-5.188,6.470,6.104
0.342,-0.076,0.943,-8.789,6.653,9.949
0.340,-0.071,0.995,-6.348,4.150,12.268
0.369,0.010,1.000,-1.038,2.136,13.000
0.361,0.105,0.962,5.859,3.296,11.536
0.312,0.148,0.897,9.033,5.798,9.033
0.279,0.144,0.846,6.470,5.310,8.057
0.275,0.129,0.849,2.563,3.601,7.751
0.283,0.101,0.872,0.854,2.197,7.507
0.299,0.101,0.885,1.465,1.099,7.568
0.306,0.134,0.874,4.395,0.793,7.202
0.309,0.182,0.869,7.996,-0.305,6.042
0.326,0.216,0.877,8.118,-0.549,5.127
0.313,0.219,0.862,4.211,1.831,5.493
0.297,0.203,0.835,-0.366,3.906,6.470
0.298,0.181,0.823,-1.465,3.906,6.531
0.289,0.161,0.841,2.136,1.892,5.066
0.313,0.151,0.866,6.958,-0.732,3.479
0.333,0.173,0.882,10.681,-1.709,2.380
0.338,0.169,0.890,10.864,-1.282,1.709
0.348,0.151,0.882,8.423,0.916,2.075
0.341,0.149,0.876,4.028,3.723,4.333
0.361,0.146,0.895,0.671,3.784,5.859
0.394,0.152,0.913,-0.305,2.747,5.859
0.404,0.171,0.934,2.441,2.563,4.089
0.416,0.153,0.951,5.188,0.732,0.854
0.424,0.126,0.956,6.226,-0.854,-1.221
0.422,0.096,0.955,5.066,-0.916,-1.709
0.418,0.066,0.968,1.953,-0.610,-1.221
0.425,0.050,0.974,-1.343,-0.244,0.122
0.416,0.046,0.983,-3.113,0.000,1.221
0.423,0.051,0.990,-2.808,0.366,1.709
0.413,0.067,0.978,-1.892,1.465,2.197
0.394,0.076,0.961,-0.916,2.563,2.075
0.375,0.061,0.937,0.122,3.967,1.892
0.360,0.055,0.918,0.427,5.005,2.563
0.349,0.050,0.902,-0.244,5.310,3.479
0.344,0.060,0.895,-1.221,5.066,4.639
0.339,0.071,0.881,-1.099,4.395,5.249
0.331,0.083,0.866,-0.366,3.601,5.554
0.328,0.104,0.850,0.427,3.113,5.737
0.316,0.140,0.837,1.160,2.563,5.737
0.314,0.149,0.829,0.916,2.075,5.493
0.314,0.147,0.830,-0.854,1.465,5.554
0.327,0.156,0.829,-1.831,0.488,5.554
0.340,0.159,0.835,-0.977,-0.122,4.517
0.356,0.171,0.837,0.793,-0.244,3.296
0.346,0.182,0.841,2.747,-0.122,1.587
0.330,0.176,0.822,4.028,0.061,0.000
0.324,0.157,0.820,4.944,-0.793,-1.343
0.325,0.145,0.814,3.906,-2.502,-1.587
0.337,0.131,0.829,1.648,-3.784,-0.977
0.359,0.133,0.848,-0.427,-5.066,-0.305
0.374,0.142,0.870,-1.526,-5.554,-0.061
0.387,0.139,0.888,-1.099,-5.005,-0.183
0.394,0.146,0.898,-0.366,-4.333,-0.122
0.390,0.130,0.902,0.305,-4.089,-1.038
0.385,0.105,0.902,1.770,-4.456,-2.014
0.383,0.092,0.902,3.906,-5.493,-2.625
0.376,0.091,0.920,6.226,-6.042,-2.869
0.380,0.098,0.927,6.348,-5.981,-2.625
0.379,0.103,0.953,4.456,-4.517,-1.953
0.378,0.086,0.946,1.526,-1.587,-0.610
0.351,0.075,0.929,-1.282,1.160,1.038
0.342,0.058,0.911,-0.549,1.648,1.343
0.346,0.052,0.902,1.648,-0.305,1.038
0.333,0.079,0.911,3.052,-2.075,1.465

2.288,-0.191,-0.574,-90.820,-133.362,-36.438
2.395,-0.238,-0.632,-78.979,-139.526,-39.612
2.353,-0.225,-0.800,-57.617,-139.465,-43.396
2.296,-0.108,-1.124,-31.067,-139.343,-51.147
2.142,-0.004,-1.563,-5.127,-144.043,-59.937
1.904,0.158,-1.999,8.484,-162.964,-62.866
1.596,0.292,-2.151,9.033,-194.519,-59.265
1.206,0.454,-1.973,-2.625,-228.333,-52.673
0.605,0.585,-1.746,-22.949,-259.216,-53.284
-0.214,0.495,-1.423,-45.593,-282.959,-56.152
-1.034,0.462,-0.800,-76.233,-301.270,-49.316
-1.828,0.159,0.267,-109.192,-311.523,-37.537
-2.517,-0.140,1.432,-130.493,-294.922,-15.625
-2.886,0.007,2.124,-143.860,-243.042,6.897
-3.259,0.402,2.490,-148.743,-183.167,14.893
-3.739,1.010,2.417,-191.345,-152.893,10.315
-3.419,1.108,3.060,-294.434,-187.866,-7.446
-2.111,0.786,3.892,-413.086,-246.094,-17.456
-0.956,0.406,4.000,-477.234,-250.061,-15.320
0.005,0.054,4.000,-422.668,-183.594,-33.752
0.240,-0.276,3.620,-257.507,-95.459,-61.951
-0.077,-0.183,2.674,-88.074,-26.245,-66.345
-0.144,-0.071,1.651,54.443,12.268,-72.327
-0.186,0.021,0.789,175.232,15.259,-81.848
-0.151,0.335,0.392,260.254,-0.549,-81.970
-0.037,0.552,0.374,284.668,-26.428,-83.130
0.059,0.391,0.458,228.149,-37.903,-79.224
0.021,0.085,0.411,91.309,-18.066,-48.889
-0.044,-0.088,0.440,-53.223,8.118,-2.808
-0.035,-0.092,0.613,-137.634,17.883,29.907
0.055,-0.010,0.735,-157.043,14.160,39.917
0.104,0.110,0.830,-126.404,4.333,33.569
0.166,0.202,0.834,-69.824,-8.057,19.226
0.224,0.288,0.810,-10.193,-18.433,3.235
0.256,0.370,0.860,33.264,-22.766,-8.240
0.292,0.410,0.927,49.133,-21.423,-15.076
0.278,0.342,0.954,36.682,-14.404,-17.456
0.257,0.231,0.964,7.507,-2.075,-12.207
0.245,0.193,0.930,-20.386,10.925,-2.808
0.234,0.144,0.878,-34.302,16.724,1.648
0.283,0.056,0.842,-34.180,11.841,1.648
0.354,0.066,0.903,-25.208,0.305,1.038
0.422,0.148,0.988,-11.536,-9.155,-1.099
0.439,0.197,0.998,-2.502,-12.451,-2.014
0.449,0.193,1.002,-1.709,-10.254,-2.197
0.425,0.120,0.995,-6.836,-5.676,-1.831
0.414,0.016,1.019,-14.893,-1.709,1.221
0.437,-0.051,1.078,-20.630,-0.061,7.080
0.453,-0.064,1.109,-18.066,1.038,11.108
0.468,-0.026,1.111,-7.080,2.747,12.451
0.482,0.054,1.090,5.920,5.432,12.268
0.434,0.179,0.985,13.733,11.230,12.024
0.362,0.219,0.849,16.052,14.465,8.667
0.306,0.198,0.785,12.024,11.475,5.676
0.302,0.163,0.814,2.319,6.104,6.775
0.328,0.113,0.904,-7.141,0.916,8.667
0.349,0.103,0.968,-9.583,-1.526,10.559
0.361,0.135,0.986,-4.028,-0.793,10.498
