aX,aY,aZ,gX,gY,gZ
0.660,1.835,0.214,-41.992,-119.934,1.831
0.841,1.728,0.289,-36.316,-115.662,-4.639
1.016,1.637,0.383,-32.471,-105.835,-11.230
1.177,1.523,0.519,-31.860,-93.933,-16.907
1.248,1.438,0.724,-36.926,-81.482,-20.142
1.315,1.335,0.768,-54.199,-68.848,-24.109
1.372,1.203,0.631,-76.233,-59.631,-27.771
1.410,1.044,0.510,-89.722,-50.964,-30.640
1.455,0.913,0.421,-91.064,-41.626,-32.349
1.503,0.799,0.338,-85.571,-33.875,-32.166
1.489,0.659,0.280,-75.562,-22.705,-30.884
1.434,0.546,0.263,-63.843,-6.653,-30.029
1.439,0.442,0.299,-53.162,9.827,-33.508
1.483,0.361,0.475,-45.959,26.245,-37.720
1.411,0.267,0.554,-47.729,46.509,-38.269
1.397,0.155,0.490,-57.800,67.017,-37.292
1.394,0.087,0.462,-66.284,77.515,-31.555
1.190,0.022,0.466,-73.120,86.548,-21.179
1.014,-0.042,0.414,-79.956,96.619,-13.916
0.904,-0.067,0.303,-85.205,105.225,-9.521
0.795,-0.094,0.218,-84.717,112.061,-2.686
0.629,-0.099,0.223,-74.707,120.056,10.254
0.393,-0.113,0.279,-64.209,124.878,23.376
0.153,-0.102,0.312,-57.373,125.488,27.832
-0.087,-0.093,0.274,-54.810,126.282,27.588
-0.340,-0.118,0.215,-52.124,125.122,25.940
-0.554,-0.128,0.141,-47.729,125.366,22.949
-0.698,-0.164,0.057,-40.344,125.427,19.592
-0.798,-0.181,0.016,-31.616,126.038,12.085
-0.859,-0.205,-0.006,-21.606,132.385,0.427
-0.897,-0.203,-0.056,-14.709,140.381,-13.794
-0.933,-0.194,-0.075,-10.254,149.902,-28.992
-0.978,-0.178,-0.097,-5.615,160.706,-42.603
-0.889,-0.168,-0.083,-0.122,162.476,-52.734
-0.791,-0.145,-0.032,7.019,157.349,-55.542
-0.705,-0.168,0.006,8.606,149.902,-52.734
-0.616,-0.205,0.007,9.277,154.724,-50.293
-0.552,-0.234,-0.064,6.409,157.532,-47.058
-0.529,-0.262,-0.139,7.446,157.288,-39.612
-0.540,-0.219,-0.188,13.550,154.236,-31.860
-0.590,-0.181,-0.197,24.353,145.996,-21.179
-0.660,-0.114,-0.197,33.386,138.916,-9.705
-0.724,-0.032,-0.196,40.710,133.911,-0.916
-0.909,0.000,-0.198,46.448,131.653,7.568
-1.113,0.045,-0.193,52.612,127.197,15.198
-1.283,0.179,-0.211,58.777,117.432,18.982
-1.457,0.287,-0.214,63.843,107.483,19.226
-1.538,0.410,-0.269,66.650,98.450,17.090
-1.585,0.561,-0.365,68.665,85.388,15.259
-1.717,0.698,-0.437,74.219,69.092,18.677
-1.949,0.827,-0.450,85.510,47.852,25.940
-2.162,0.940,-0.408,96.802,26.917,26.367
-2.329,1.051,-0.370,105.957,12.451,17.761
-2.385,1.129,-0.303,112.793,3.601,1.526
-2.316,1.265,-0.193,117.737,-5.676,-17.578
