aX,aY,aZ,gX,gY,gZ
0.573,0.225,-0.766,-3.845,-3.357,2.075
0.571,0.234,-0.770,-2.686,-2.686,0.732
0.573,0.231,-0.775,-0.366,-1.953,-0.671
0.576,0.217,-0.767,2.075,-1.343,-1.526
0.578,0.201,-0.763,3.052,-0.427,-1.831
0.590,0.190,-0.772,2.380,0.488,-1.587
0.604,0.185,-0.782,0.793,0.244,-0.305
0.601,0.188,-0.788,-0.671,-0.427,1.038
0.594,0.198,-0.793,-1.892,-1.587,2.502
0.591,0.206,-0.797,-2.747,-2.502,2.869
0.582,0.214,-0.792,-2.502,-3.479,2.808

-0.352,0.217,2.073,31.860,79.407,-17.944
-0.392,0.203,2.195,36.621,103.210,-13.794
-0.471,0.202,2.314,43.457,127.563,-7.629
-0.521,0.172,2.394,49.255,152.771,-3.174
-0.517,0.126,2.466,51.941,181.335,-2.808
-0.510,0.036,2.506,47.729,210.266,-5.127
-0.526,-0.042,2.467,36.804,241.882,-5.737
-0.523,-0.058,2.320,22.034,278.381,-3.296
-0.490,-0.085,2.112,9.399,317.627,0.305
-0.470,-0.098,1.837,1.282,351.990,6.653
-0.370,-0.063,1.517,-3.113,378.235,14.893
-0.200,-0.039,1.283,-4.883,391.113,21.606
-0.144,-0.079,1.116,-7.141,390.198,22.400
-0.177,-0.167,0.992,-14.771,386.536,19.531
-0.148,-0.211,0.835,-26.978,390.930,17.883
-0.116,-0.234,0.680,-35.583,397.278,22.949
-0.133,-0.213,0.539,-37.415,401.123,31.494
-0.095,-0.187,0.374,-35.400,406.189,40.955
-0.048,-0.166,0.219,-33.325,409.241,50.110
-0.012,-0.143,0.067,-34.363,409.180,54.993
0.016,-0.092,-0.090,-37.048,403.809,57.983
0.045,-0.047,-0.168,-38.757,393.677,60.791
0.023,-0.029,-0.178,-42.786,381.897,61.157
-0.014,-0.020,-0.255,-50.781,370.361,61.157
-0.012,0.013,-0.318,-57.007,362.732,63.965
-0.047,0.052,-0.376,-62.622,354.919,65.857
-0.106,0.083,-0.432,-66.589,346.741,67.078
-0.098,0.102,-0.466,-67.566,342.407,67.932
-0.067,0.113,-0.478,-65.491,342.712,67.810
-0.037,0.114,-0.503,-60.242,344.421,67.688
-0.011,0.156,-0.595,-51.880,340.454,68.176
0.019,0.192,-0.683,-41.199,334.473,70.984
0.057,0.224,-0.730,-31.494,328.430,74.646
0.119,0.271,-0.828,-23.621,319.214,76.843
0.175,0.261,-0.993,-20.447,303.406,75.378
0.299,0.274,-1.153,-22.888,285.583,67.078
0.389,0.271,-1.257,-25.269,261.963,55.115
